building,noise,in_vehicle,asleep,no_windows,dist,age_groups,heard
0,0,0,0,0,485.4424626306866,3,1
0,0,0,0,0,816.7022643870147,7,1
0,0,0,0,0,510.3210880840747,1,1
0,0,0,0,0,6.0688391519772305,3,1
0,1,1,0,0,20768.768399260713,3,0
1,0,0,0,0,551.102005337383,3,1
0,1,0,0,0,14826.124168907012,3,0
0,0,0,0,0,470.9033899047285,6,1
0,1,0,0,0,2602.3225365291155,1,1
1,0,0,0,0,464.80903622777646,0,1
1,0,0,0,0,5043.437545921454,2,0
1,0,0,0,0,363.43153077963143,5,1
0,0,0,0,0,336.0930629674206,4,1
1,0,0,0,0,595.1596467859096,5,1
1,0,0,0,0,27.860710423391726,6,1
1,0,0,0,0,410.6157547327539,6,0
0,0,0,0,0,749.4895917751877,5,1
0,0,1,0,0,732.8822885747982,3,1
0,0,0,0,0,2514.128434318484,7,1
0,0,0,0,0,1252.022411726794,0,1
0,0,0,0,0,1818.1367426056445,4,1
0,0,0,0,0,215.87488088961535,4,1
1,0,0,0,0,556.705726310368,2,1
0,0,0,0,0,718.4591065178508,6,1
0,1,1,0,0,35281.900688107715,5,0
0,0,0,0,0,422.02690885656426,5,1
0,0,0,0,0,396.8836961351179,4,1
0,1,0,0,0,38619.46143573447,5,0
0,0,0,0,0,297.0292866529081,6,1
0,0,0,0,0,322.89694714790465,5,1
1,0,0,0,1,9416.54421132125,5,0
0,0,0,0,0,105.73246487273597,3,1
1,1,0,0,0,674.9826409703699,6,1
1,0,0,0,0,1065.4425964018074,3,1
0,0,0,0,0,1163.8822809392361,4,1
0,0,0,0,0,172.23603801040366,6,1
0,1,0,0,0,9197.565407176571,3,1
1,0,0,0,0,1630.0521263746987,6,1
0,0,0,0,0,334.30365835348874,1,1
1,0,0,0,0,279.5484690023606,5,1
0,1,0,0,0,420.14669707358826,6,0
0,0,0,0,0,523.3663831620146,4,1
1,1,0,0,0,500.7640852504149,4,1
1,1,0,0,0,3539.6452237685558,1,0
0,0,0,0,0,414.8547635652593,1,1
0,1,1,0,0,23733.19284810966,5,0
1,1,0,0,0,447.6865028995477,4,1
1,0,0,0,0,785.1241042463777,6,1
0,1,0,0,0,418.7285991229035,0,1
0,0,0,0,0,966.0565140501698,4,1
1,0,0,0,0,292.99465867492586,2,1
0,1,0,0,0,4156.701074135248,6,0
0,0,0,0,0,841.8208207558165,3,1
0,0,0,0,0,21214.625419648088,5,0
1,0,0,0,0,401.18812880881956,5,1
1,0,0,0,1,428.8665542821185,4,0
1,0,0,0,0,356.9580663892244,4,1
1,0,0,0,0,2561.7168857524084,1,1
0,0,0,0,0,118.04131423075798,2,1
0,1,0,0,0,238.94248065375302,4,1
0,0,0,0,0,246.66722673064524,3,1
0,0,0,0,0,340.17921804283725,5,1
0,0,0,0,0,501.49608383245834,4,1
0,1,1,0,0,482.189643738367,3,1
1,0,0,0,0,1075.0416990254523,5,1
0,0,0,0,0,515.7468779416558,4,1
